Time Series Search Export,Search term,Search filters,,Last update of Debt service ratios data,Downloaded at,Source,Source URL,Download URL,About Debt service ratios
,,,,2025-06-16,2025-09-08 15:46 CEST,BIS,https://data.bis.org/topics/DSR/BIS%2CWS_DSR%2C1.0/Q.JP.H?view=observations,https://data.bis.org/topics/DSR/BIS%2CWS_DSR%2C1.0/Q.JP.H?view=observations&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/DSR

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,BORROWERS_CTY:Borrowers' country,DSR_BORROWERS:Borrowers,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2021-06-30,F:Free,,A:Normal value,7.4
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2021-09-30,F:Free,,A:Normal value,7.5
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2021-12-31,F:Free,,A:Normal value,7.5
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2022-03-31,F:Free,,A:Normal value,7.5
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2022-06-30,F:Free,,A:Normal value,7.5
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2022-09-30,F:Free,,A:Normal value,7.5
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2022-12-31,F:Free,,A:Normal value,7.5
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2023-03-31,F:Free,,A:Normal value,7.6
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2023-06-30,F:Free,,A:Normal value,7.6
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2023-09-30,F:Free,,A:Normal value,7.6
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2023-12-31,F:Free,,A:Normal value,7.7
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2024-03-31,F:Free,,A:Normal value,7.7
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2024-06-30,F:Free,,A:Normal value,7.8
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2024-09-30,F:Free,,A:Normal value,7.7
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2024-12-31,F:Free,,A:Normal value,7.8
