Time Series Search Export,Search term,Search filters,,Last update of Debt service ratios data,Downloaded at,Source,Source URL,Download URL,About Debt service ratios
,,,,2025-06-16,2025-09-08 15:47 CEST,BIS,https://data.bis.org/topics/DSR/BIS%2CWS_DSR%2C1.0/Q.JP.N?,https://data.bis.org/topics/DSR/BIS%2CWS_DSR%2C1.0/Q.JP.N?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/DSR

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,BORROWERS_CTY:Borrowers' country,DSR_BORROWERS:Borrowers,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2010-12-31,F:Free,,A:Normal value,34.2
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2011-03-31,F:Free,,A:Normal value,34.0
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2011-06-30,F:Free,,A:Normal value,34.5
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2011-09-30,F:Free,,A:Normal value,35.3
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2011-12-31,F:Free,,A:Normal value,35.8
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2012-03-31,F:Free,,A:Normal value,35.5
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2012-06-30,F:Free,,A:Normal value,34.3
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2012-09-30,F:Free,,A:Normal value,34.5
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2012-12-31,F:Free,,A:Normal value,34.5
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2013-03-31,F:Free,,A:Normal value,34.2
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2013-06-30,F:Free,,A:Normal value,33.4
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2013-09-30,F:Free,,A:Normal value,33.0
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2013-12-31,F:Free,,A:Normal value,32.9
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2014-03-31,F:Free,,A:Normal value,32.7
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2014-06-30,F:Free,,A:Normal value,32.5
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2014-09-30,F:Free,,A:Normal value,32.9
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2014-12-31,F:Free,,A:Normal value,33.0
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2015-03-31,F:Free,,A:Normal value,32.1
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2015-06-30,F:Free,,A:Normal value,30.7
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2015-09-30,F:Free,,A:Normal value,29.9
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2015-12-31,F:Free,,A:Normal value,29.6
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2016-03-31,F:Free,,A:Normal value,29.1
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2016-06-30,F:Free,,A:Normal value,29.3
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2016-09-30,F:Free,,A:Normal value,29.9
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2016-12-31,F:Free,,A:Normal value,30.4
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2017-03-31,F:Free,,A:Normal value,30.5
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2017-06-30,F:Free,,A:Normal value,30.2
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2017-09-30,F:Free,,A:Normal value,29.9
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2017-12-31,F:Free,,A:Normal value,29.8
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2018-03-31,F:Free,,A:Normal value,29.5
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2018-06-30,F:Free,,A:Normal value,29.7
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2018-09-30,F:Free,,A:Normal value,30.3
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2018-12-31,F:Free,,A:Normal value,31.0
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2019-03-31,F:Free,,A:Normal value,31.6
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2019-06-30,F:Free,,A:Normal value,32.1
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2019-09-30,F:Free,,A:Normal value,32.8
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2019-12-31,F:Free,,A:Normal value,33.6
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2020-03-31,F:Free,,A:Normal value,34.2
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2020-06-30,F:Free,,A:Normal value,38.0
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2020-09-30,F:Free,,A:Normal value,38.9
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2020-12-31,F:Free,,A:Normal value,38.9
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2021-03-31,F:Free,,A:Normal value,38.7
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2021-06-30,F:Free,,A:Normal value,37.1
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2021-09-30,F:Free,,A:Normal value,36.5
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2021-12-31,F:Free,,A:Normal value,36.7
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2022-03-31,F:Free,,A:Normal value,36.7
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2022-06-30,F:Free,,A:Normal value,37.1
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2022-09-30,F:Free,,A:Normal value,37.6
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2022-12-31,F:Free,,A:Normal value,38.0
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2023-03-31,F:Free,,A:Normal value,37.5
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2023-06-30,F:Free,,A:Normal value,36.9
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2023-09-30,F:Free,,A:Normal value,36.3
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2023-12-31,F:Free,,A:Normal value,35.9
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2024-03-31,F:Free,,A:Normal value,35.9
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2024-06-30,F:Free,,A:Normal value,35.7
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2024-09-30,F:Free,,A:Normal value,35.3
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2024-12-31,F:Free,,A:Normal value,35.6
